sample	geoDis	latitude	longitude	country_name	state	region	site_name	elevation	countN	known	hetero	percpoly
SEEDGWAS1464	305.646160947	16.343416	-98.026611	Mexico	NA	PINOTEPA NACIONAL	RANCHO VIEJO	187	315093	412893	16912	0.0409597643941651
SEEDGWAS1465	305.646160947	16.343416	-98.026611	Mexico	NA	PINOTEPA NACIONAL	RANCHO VIEJO	187	333397	394589	15479	0.0392281589197874
SEEDGWAS1466	282.84754471	16.539657	-98.136052	Mexico	NA	SAN SEBASTIAN IXCAPA	COSTATITLAN (EL LIMON)	221	442916	285070	7197	0.0252464307012313
SEEDGWAS1467	270.285118764	17.03333333	-97.95	Mexico	NA		SANTA MARIA PUTLA	778	335095	392891	15077	0.0383745109966886
SEEDGWAS1468	479.449993718	15.71666667	-96.48333333	Mexico	NA	PUERTO ANGEL	RANCHO PUENTE CRUZ	200	303026	424960	8235	0.0193782944277108
SEEDGWAS1469	491.838026622	15.78333333	-96.3	Mexico	NA	SAN ISIDRO APANGO	EL PALMAR	95	308661	419325	18236	0.0434889405592321
SEEDGWAS1470	7078.56685907	-22.232837	-49.825724	South America	NA	SAO PAULO	VERA CRUZ	625	388327	339659	11668	0.0343521001946069
SEEDGWAS1472	7047.99338883	-20.93333333	-49.21666667	South America	NA	SAO PAULO	UCHOA	547	320916	407070	17617	0.0432775689684821
SEEDGWAS1473	6946.66250103	-20.404622	-50.010906	South America	NA	SAO PAULO	VOTUPORANGA	494	335765	392221	12046	0.0307122770070955
SEEDGWAS1474	618.197866499	21.1	-105.2166667	Mexico	NA	PUERTA LA LIMA	RANCHO EL CHAMISAL	4	369626	358360	11235	0.0313511552628642
SEEDGWAS1476	618.197866499	21.1	-105.2166667	Mexico	NA	PUERTA LA LIMA	RANCHO EL CHAMISAL	4	312737	415249	17942	0.0432078102536069
SEEDGWAS1477	619.767545989	21.2	-105.1666667	Mexico	NA	LAS VARAS	RANCHO GOMEZ HERMANOS	8	366054	361932	13007	0.0359376899528088
SEEDGWAS1478	599.187988763	20.81666667	-105.1833333	Mexico	NA	VALLE DE BANDERAS	SAN JUAN DE ABAJO	31	412817	315169	10354	0.0328522157953352
SEEDGWAS1479	599.187988763	20.81666667	-105.1833333	Mexico	NA	VALLE DE BANDERAS	SAN JUAN DE ABAJO	31	442859	285127	8931	0.0313228841884494
SEEDGWAS148	7500.48801322	-12.43333333	-39.21666667	South America	NA	BAHIA	SANTO ESTEVAM	208	323284	404702	15165	0.0374720164466694
SEEDGWAS1481	600.154645663	21.232846	-104.915301	Mexico	NA	COMPOSTELA	EJIDO OTATES	843	419989	307997	9249	0.0300295132744799
SEEDGWAS1482	732.579886309	22.65	-105.3333333	Mexico	NA	EJIDO LA HIGUERA	HUAJICORI	131	346296	381690	14040	0.036783777410988
SEEDGWAS1483	732.579886309	22.65	-105.3333333	Mexico	NA	EJIDO LA HIGUERA	HUAJICORI	131	335802	392184	17195	0.0438442159802542
SEEDGWAS1484	732.579886309	22.65	-105.3333333	Mexico	NA	EJIDO LA HIGUERA	HUAJICORI	131	402550	325436	10847	0.0333306702393097
SEEDGWAS1485	870.511471132	23.365893	-106.44719	Mexico	NA	MUNICIPIO DE MAZATLAN	RANCHO NUEVO	45	378991	348995	9331	0.0267367727331337
SEEDGWAS1486	847.428961268	23.201203	-106.303401	Mexico	NA	MUNICIPIO DE MAZATLAN	PUERTO CANOAS	13	405969	322017	10399	0.0322933261287448
SEEDGWAS1487	1029.72518051	24.71666667	-107.2166667	Mexico	NA	MUNICIPIO DE CULIACAN	ALCOYONQUI	129	315894	412092	15706	0.0381128485872087
